"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
93606,"Varun Chopra","V Chopra","Varun Chopra","","","2000-02-01","","ie","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",23810,1516397400,8,"","","","","","","Ireland"
93610,"Reece Kelly","R Kelly","Reece Kelly","","","","","ie","[]","","bat","","","",23796,1516051800,9,"","","","","","","Ireland"
93607,"Mark Donegan","M Donegan","Mark Donegan","","","1998-12-21","","ie","[]","","bat","","","",23793,1515879000,6,"","","","","","","Ireland"
93608,"Jonathan Garth","JJ Garth","Jonathan Garth","","","","","ie","[]","","bowl","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93609,"Jamie Grassi","J Grassi","Jamie Grassi","","","1998-10-09","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93611,"Graham Kennedy","G Kennedy","Graham Kennedy","","","1999-08-24","","ie","[]","","bowl","Left hand Bat","Left Arm Medium","",23793,1515879000,8.5,"","","","","","","Ireland"
93612,"Sam Murphy","S Murphy","Sam Murphy","","","","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93613,"Max Neville","M Neville","Max Neville","","","2000-04-29","","ie","[]","","bat","Right Hand Bat","Right Arm Fast","",23793,1515879000,8,"","","","","","","Ireland"
93614,"Neil Rock","N Rock","Neil Rock","","","2000-09-24","Dublin, Ireland","ie","[]","","wk","Left hand Bat","","",23793,1515879000,6.5,"","","https://twitter.com/pebsrock015","","","","Ireland"
93616,"Andrew Vincent","A Vincent","Andrew Vincent","","","","","ie","[]","","bat","","","",23818,1516829400,8.5,"","","","","","","Ireland"
93606,"Varun Chopra","V Chopra","Varun Chopra","","","2000-02-01","","ie","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",23810,1516397400,8,"","","","","","","Ireland"
93610,"Reece Kelly","R Kelly","Reece Kelly","","","","","ie","[]","","bat","","","",23796,1516051800,9,"","","","","","","Ireland"
93607,"Mark Donegan","M Donegan","Mark Donegan","","","1998-12-21","","ie","[]","","bat","","","",23793,1515879000,6,"","","","","","","Ireland"
93608,"Jonathan Garth","JJ Garth","Jonathan Garth","","","","","ie","[]","","bowl","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93609,"Jamie Grassi","J Grassi","Jamie Grassi","","","1998-10-09","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93611,"Graham Kennedy","G Kennedy","Graham Kennedy","","","1999-08-24","","ie","[]","","bowl","Left hand Bat","Left Arm Medium","",23793,1515879000,8.5,"","","","","","","Ireland"
93612,"Sam Murphy","S Murphy","Sam Murphy","","","","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93613,"Max Neville","M Neville","Max Neville","","","2000-04-29","","ie","[]","","bat","Right Hand Bat","Right Arm Fast","",23793,1515879000,8,"","","","","","","Ireland"
93614,"Neil Rock","N Rock","Neil Rock","","","2000-09-24","Dublin, Ireland","ie","[]","","wk","Left hand Bat","","",23793,1515879000,6.5,"","","https://twitter.com/pebsrock015","","","","Ireland"
93616,"Andrew Vincent","A Vincent","Andrew Vincent","","","","","ie","[]","","bat","","","",23818,1516829400,8.5,"","","","","","","Ireland"
93606,"Varun Chopra","V Chopra","Varun Chopra","","","2000-02-01","","ie","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",23810,1516397400,8,"","","","","","","Ireland"
93610,"Reece Kelly","R Kelly","Reece Kelly","","","","","ie","[]","","bat","","","",23796,1516051800,9,"","","","","","","Ireland"
93607,"Mark Donegan","M Donegan","Mark Donegan","","","1998-12-21","","ie","[]","","bat","","","",23793,1515879000,6,"","","","","","","Ireland"
93608,"Jonathan Garth","JJ Garth","Jonathan Garth","","","","","ie","[]","","bowl","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93609,"Jamie Grassi","J Grassi","Jamie Grassi","","","1998-10-09","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93611,"Graham Kennedy","G Kennedy","Graham Kennedy","","","1999-08-24","","ie","[]","","bowl","Left hand Bat","Left Arm Medium","",23793,1515879000,8.5,"","","","","","","Ireland"
93612,"Sam Murphy","S Murphy","Sam Murphy","","","","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93613,"Max Neville","M Neville","Max Neville","","","2000-04-29","","ie","[]","","bat","Right Hand Bat","Right Arm Fast","",23793,1515879000,8,"","","","","","","Ireland"
93614,"Neil Rock","N Rock","Neil Rock","","","2000-09-24","Dublin, Ireland","ie","[]","","wk","Left hand Bat","","",23793,1515879000,6.5,"","","https://twitter.com/pebsrock015","","","","Ireland"
93616,"Andrew Vincent","A Vincent","Andrew Vincent","","","","","ie","[]","","bat","","","",23818,1516829400,8.5,"","","","","","","Ireland"
93606,"Varun Chopra","V Chopra","Varun Chopra","","","2000-02-01","","ie","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",23810,1516397400,8,"","","","","","","Ireland"
93610,"Reece Kelly","R Kelly","Reece Kelly","","","","","ie","[]","","bat","","","",23796,1516051800,9,"","","","","","","Ireland"
93607,"Mark Donegan","M Donegan","Mark Donegan","","","1998-12-21","","ie","[]","","bat","","","",23793,1515879000,6,"","","","","","","Ireland"
93608,"Jonathan Garth","JJ Garth","Jonathan Garth","","","","","ie","[]","","bowl","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93609,"Jamie Grassi","J Grassi","Jamie Grassi","","","1998-10-09","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93611,"Graham Kennedy","G Kennedy","Graham Kennedy","","","1999-08-24","","ie","[]","","bowl","Left hand Bat","Left Arm Medium","",23793,1515879000,8.5,"","","","","","","Ireland"
93612,"Sam Murphy","S Murphy","Sam Murphy","","","","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93613,"Max Neville","M Neville","Max Neville","","","2000-04-29","","ie","[]","","bat","Right Hand Bat","Right Arm Fast","",23793,1515879000,8,"","","","","","","Ireland"
93614,"Neil Rock","N Rock","Neil Rock","","","2000-09-24","Dublin, Ireland","ie","[]","","wk","Left hand Bat","","",23793,1515879000,6.5,"","","https://twitter.com/pebsrock015","","","","Ireland"
93616,"Andrew Vincent","A Vincent","Andrew Vincent","","","","","ie","[]","","bat","","","",23818,1516829400,8.5,"","","","","","","Ireland"
93606,"Varun Chopra","V Chopra","Varun Chopra","","","2000-02-01","","ie","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",23810,1516397400,8,"","","","","","","Ireland"
93610,"Reece Kelly","R Kelly","Reece Kelly","","","","","ie","[]","","bat","","","",23796,1516051800,9,"","","","","","","Ireland"
93607,"Mark Donegan","M Donegan","Mark Donegan","","","1998-12-21","","ie","[]","","bat","","","",23793,1515879000,6,"","","","","","","Ireland"
93608,"Jonathan Garth","JJ Garth","Jonathan Garth","","","","","ie","[]","","bowl","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93609,"Jamie Grassi","J Grassi","Jamie Grassi","","","1998-10-09","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93611,"Graham Kennedy","G Kennedy","Graham Kennedy","","","1999-08-24","","ie","[]","","bowl","Left hand Bat","Left Arm Medium","",23793,1515879000,8.5,"","","","","","","Ireland"
93612,"Sam Murphy","S Murphy","Sam Murphy","","","","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93613,"Max Neville","M Neville","Max Neville","","","2000-04-29","","ie","[]","","bat","Right Hand Bat","Right Arm Fast","",23793,1515879000,8,"","","","","","","Ireland"
93614,"Neil Rock","N Rock","Neil Rock","","","2000-09-24","Dublin, Ireland","ie","[]","","wk","Left hand Bat","","",23793,1515879000,6.5,"","","https://twitter.com/pebsrock015","","","","Ireland"
93616,"Andrew Vincent","A Vincent","Andrew Vincent","","","","","ie","[]","","bat","","","",23818,1516829400,8.5,"","","","","","","Ireland"
93606,"Varun Chopra","V Chopra","Varun Chopra","","","2000-02-01","","ie","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",23810,1516397400,8,"","","","","","","Ireland"
93610,"Reece Kelly","R Kelly","Reece Kelly","","","","","ie","[]","","bat","","","",23796,1516051800,9,"","","","","","","Ireland"
93607,"Mark Donegan","M Donegan","Mark Donegan","","","1998-12-21","","ie","[]","","bat","","","",23793,1515879000,6,"","","","","","","Ireland"
93608,"Jonathan Garth","JJ Garth","Jonathan Garth","","","","","ie","[]","","bowl","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93609,"Jamie Grassi","J Grassi","Jamie Grassi","","","1998-10-09","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93611,"Graham Kennedy","G Kennedy","Graham Kennedy","","","1999-08-24","","ie","[]","","bowl","Left hand Bat","Left Arm Medium","",23793,1515879000,8.5,"","","","","","","Ireland"
93612,"Sam Murphy","S Murphy","Sam Murphy","","","","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93613,"Max Neville","M Neville","Max Neville","","","2000-04-29","","ie","[]","","bat","Right Hand Bat","Right Arm Fast","",23793,1515879000,8,"","","","","","","Ireland"
93614,"Neil Rock","N Rock","Neil Rock","","","2000-09-24","Dublin, Ireland","ie","[]","","wk","Left hand Bat","","",23793,1515879000,6.5,"","","https://twitter.com/pebsrock015","","","","Ireland"
93616,"Andrew Vincent","A Vincent","Andrew Vincent","","","","","ie","[]","","bat","","","",23818,1516829400,8.5,"","","","","","","Ireland"
93606,"Varun Chopra","V Chopra","Varun Chopra","","","2000-02-01","","ie","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",23810,1516397400,8,"","","","","","","Ireland"
93610,"Reece Kelly","R Kelly","Reece Kelly","","","","","ie","[]","","bat","","","",23796,1516051800,9,"","","","","","","Ireland"
93607,"Mark Donegan","M Donegan","Mark Donegan","","","1998-12-21","","ie","[]","","bat","","","",23793,1515879000,6,"","","","","","","Ireland"
93608,"Jonathan Garth","JJ Garth","Jonathan Garth","","","","","ie","[]","","bowl","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93609,"Jamie Grassi","J Grassi","Jamie Grassi","","","1998-10-09","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93611,"Graham Kennedy","G Kennedy","Graham Kennedy","","","1999-08-24","","ie","[]","","bowl","Left hand Bat","Left Arm Medium","",23793,1515879000,8.5,"","","","","","","Ireland"
93612,"Sam Murphy","S Murphy","Sam Murphy","","","","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93613,"Max Neville","M Neville","Max Neville","","","2000-04-29","","ie","[]","","bat","Right Hand Bat","Right Arm Fast","",23793,1515879000,8,"","","","","","","Ireland"
93614,"Neil Rock","N Rock","Neil Rock","","","2000-09-24","Dublin, Ireland","ie","[]","","wk","Left hand Bat","","",23793,1515879000,6.5,"","","https://twitter.com/pebsrock015","","","","Ireland"
93616,"Andrew Vincent","A Vincent","Andrew Vincent","","","","","ie","[]","","bat","","","",23818,1516829400,8.5,"","","","","","","Ireland"
93606,"Varun Chopra","V Chopra","Varun Chopra","","","2000-02-01","","ie","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",23810,1516397400,8,"","","","","","","Ireland"
93610,"Reece Kelly","R Kelly","Reece Kelly","","","","","ie","[]","","bat","","","",23796,1516051800,9,"","","","","","","Ireland"
93607,"Mark Donegan","M Donegan","Mark Donegan","","","1998-12-21","","ie","[]","","bat","","","",23793,1515879000,6,"","","","","","","Ireland"
93608,"Jonathan Garth","JJ Garth","Jonathan Garth","","","","","ie","[]","","bowl","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93609,"Jamie Grassi","J Grassi","Jamie Grassi","","","1998-10-09","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93611,"Graham Kennedy","G Kennedy","Graham Kennedy","","","1999-08-24","","ie","[]","","bowl","Left hand Bat","Left Arm Medium","",23793,1515879000,8.5,"","","","","","","Ireland"
93612,"Sam Murphy","S Murphy","Sam Murphy","","","","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93613,"Max Neville","M Neville","Max Neville","","","2000-04-29","","ie","[]","","bat","Right Hand Bat","Right Arm Fast","",23793,1515879000,8,"","","","","","","Ireland"
93614,"Neil Rock","N Rock","Neil Rock","","","2000-09-24","Dublin, Ireland","ie","[]","","wk","Left hand Bat","","",23793,1515879000,6.5,"","","https://twitter.com/pebsrock015","","","","Ireland"
93616,"Andrew Vincent","A Vincent","Andrew Vincent","","","","","ie","[]","","bat","","","",23818,1516829400,8.5,"","","","","","","Ireland"
93606,"Varun Chopra","V Chopra","Varun Chopra","","","2000-02-01","","ie","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",23810,1516397400,8,"","","","","","","Ireland"
93610,"Reece Kelly","R Kelly","Reece Kelly","","","","","ie","[]","","bat","","","",23796,1516051800,9,"","","","","","","Ireland"
93607,"Mark Donegan","M Donegan","Mark Donegan","","","1998-12-21","","ie","[]","","bat","","","",23793,1515879000,6,"","","","","","","Ireland"
93608,"Jonathan Garth","JJ Garth","Jonathan Garth","","","","","ie","[]","","bowl","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93609,"Jamie Grassi","J Grassi","Jamie Grassi","","","1998-10-09","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93611,"Graham Kennedy","G Kennedy","Graham Kennedy","","","1999-08-24","","ie","[]","","bowl","Left hand Bat","Left Arm Medium","",23793,1515879000,8.5,"","","","","","","Ireland"
93612,"Sam Murphy","S Murphy","Sam Murphy","","","","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93613,"Max Neville","M Neville","Max Neville","","","2000-04-29","","ie","[]","","bat","Right Hand Bat","Right Arm Fast","",23793,1515879000,8,"","","","","","","Ireland"
93614,"Neil Rock","N Rock","Neil Rock","","","2000-09-24","Dublin, Ireland","ie","[]","","wk","Left hand Bat","","",23793,1515879000,6.5,"","","https://twitter.com/pebsrock015","","","","Ireland"
93616,"Andrew Vincent","A Vincent","Andrew Vincent","","","","","ie","[]","","bat","","","",23818,1516829400,8.5,"","","","","","","Ireland"
93606,"Varun Chopra","V Chopra","Varun Chopra","","","2000-02-01","","ie","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",23810,1516397400,8,"","","","","","","Ireland"
93610,"Reece Kelly","R Kelly","Reece Kelly","","","","","ie","[]","","bat","","","",23796,1516051800,9,"","","","","","","Ireland"
