"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
1330,"Eben van Wyk","E van Wyk","Eben van Wyk","","","1999-03-19","","na","[]","","bat","Right Hand Bat","Right Arm Medium","",23790,1515792600,8.5,"","","","","","","Namibia"
1386,"Petrus Burger","P Burger","Petrus Burger","","","1999-11-03","","na","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",23790,1515792600,8.5,"","","","","","","Namibia"
1180,"Lohan Louwrens","L Louwrens","Lohan Louwrens","","","1999-04-24","","na","[]","","bat","Right Hand Bat","","",23790,1515792600,7.5,"","","","","","","Namibia"
93596,"Shaun Fouche","S Fouche","Shaun Fouche","","","2000-02-14","","na","[]","","all","Right Hand Bat","","",23790,1515792600,7.5,"","","","","","","Namibia"
93598,"Gerhard Lottering","G Lottering","Gerhard Lottering","","","2000-05-19","","na","[]","","wk","Right Hand Bat","Right Arm Fast","",23790,1515792600,8,"","","","","","","Namibia"
93599,"Dewald Nell","D Nell","Dewald Nell","","","","","na","[]","","all","","","",23790,1515792600,6.5,"","","","","","","Namibia"
93602,"Floris Steenkamp","F Steenkamp","Floris Steenkamp","","","","","na","[]","","bat","","","",23817,1516829400,8.5,"","","","","","","Namibia"
93594,"Henry Brink","H Brink","Henry Brink","","","2001-03-29","","na","[]","","bat","Right Hand Bat","","",23812,1516570200,8,"","","","","","","Namibia"
93595,"Jan-Izak de Villiers","JI de Villiers","Jan-Izak de Villiers","","","2001-05-06","","na","[]","","all","Right Hand Bat","Right Arm Medium","",23802,1516224600,8,"","","","","","","Namibia"
93639,"Ramon Wilmot","RZ Wilmot","Ramon Wilmot","","","2002-09-17","","na","[]","","all","Right Hand Bat","Right Arm Leg Spin","",23794,1515965400,9,"","","","","","","Namibia"
1330,"Eben van Wyk","E van Wyk","Eben van Wyk","","","1999-03-19","","na","[]","","bat","Right Hand Bat","Right Arm Medium","",23790,1515792600,8.5,"","","","","","","Namibia"
1386,"Petrus Burger","P Burger","Petrus Burger","","","1999-11-03","","na","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",23790,1515792600,8.5,"","","","","","","Namibia"
1180,"Lohan Louwrens","L Louwrens","Lohan Louwrens","","","1999-04-24","","na","[]","","bat","Right Hand Bat","","",23790,1515792600,7.5,"","","","","","","Namibia"
93596,"Shaun Fouche","S Fouche","Shaun Fouche","","","2000-02-14","","na","[]","","all","Right Hand Bat","","",23790,1515792600,7.5,"","","","","","","Namibia"
93598,"Gerhard Lottering","G Lottering","Gerhard Lottering","","","2000-05-19","","na","[]","","wk","Right Hand Bat","Right Arm Fast","",23790,1515792600,8,"","","","","","","Namibia"
93599,"Dewald Nell","D Nell","Dewald Nell","","","","","na","[]","","all","","","",23790,1515792600,6.5,"","","","","","","Namibia"
93602,"Floris Steenkamp","F Steenkamp","Floris Steenkamp","","","","","na","[]","","bat","","","",23817,1516829400,8.5,"","","","","","","Namibia"
93594,"Henry Brink","H Brink","Henry Brink","","","2001-03-29","","na","[]","","bat","Right Hand Bat","","",23812,1516570200,8,"","","","","","","Namibia"
93595,"Jan-Izak de Villiers","JI de Villiers","Jan-Izak de Villiers","","","2001-05-06","","na","[]","","all","Right Hand Bat","Right Arm Medium","",23802,1516224600,8,"","","","","","","Namibia"
93639,"Ramon Wilmot","RZ Wilmot","Ramon Wilmot","","","2002-09-17","","na","[]","","all","Right Hand Bat","Right Arm Leg Spin","",23794,1515965400,9,"","","","","","","Namibia"
1330,"Eben van Wyk","E van Wyk","Eben van Wyk","","","1999-03-19","","na","[]","","bat","Right Hand Bat","Right Arm Medium","",23790,1515792600,8.5,"","","","","","","Namibia"
1386,"Petrus Burger","P Burger","Petrus Burger","","","1999-11-03","","na","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",23790,1515792600,8.5,"","","","","","","Namibia"
1180,"Lohan Louwrens","L Louwrens","Lohan Louwrens","","","1999-04-24","","na","[]","","bat","Right Hand Bat","","",23790,1515792600,7.5,"","","","","","","Namibia"
93596,"Shaun Fouche","S Fouche","Shaun Fouche","","","2000-02-14","","na","[]","","all","Right Hand Bat","","",23790,1515792600,7.5,"","","","","","","Namibia"
93598,"Gerhard Lottering","G Lottering","Gerhard Lottering","","","2000-05-19","","na","[]","","wk","Right Hand Bat","Right Arm Fast","",23790,1515792600,8,"","","","","","","Namibia"
93599,"Dewald Nell","D Nell","Dewald Nell","","","","","na","[]","","all","","","",23790,1515792600,6.5,"","","","","","","Namibia"
93602,"Floris Steenkamp","F Steenkamp","Floris Steenkamp","","","","","na","[]","","bat","","","",23817,1516829400,8.5,"","","","","","","Namibia"
93594,"Henry Brink","H Brink","Henry Brink","","","2001-03-29","","na","[]","","bat","Right Hand Bat","","",23812,1516570200,8,"","","","","","","Namibia"
93595,"Jan-Izak de Villiers","JI de Villiers","Jan-Izak de Villiers","","","2001-05-06","","na","[]","","all","Right Hand Bat","Right Arm Medium","",23802,1516224600,8,"","","","","","","Namibia"
93639,"Ramon Wilmot","RZ Wilmot","Ramon Wilmot","","","2002-09-17","","na","[]","","all","Right Hand Bat","Right Arm Leg Spin","",23794,1515965400,9,"","","","","","","Namibia"
1330,"Eben van Wyk","E van Wyk","Eben van Wyk","","","1999-03-19","","na","[]","","bat","Right Hand Bat","Right Arm Medium","",23790,1515792600,8.5,"","","","","","","Namibia"
1386,"Petrus Burger","P Burger","Petrus Burger","","","1999-11-03","","na","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",23790,1515792600,8.5,"","","","","","","Namibia"
1180,"Lohan Louwrens","L Louwrens","Lohan Louwrens","","","1999-04-24","","na","[]","","bat","Right Hand Bat","","",23790,1515792600,7.5,"","","","","","","Namibia"
93596,"Shaun Fouche","S Fouche","Shaun Fouche","","","2000-02-14","","na","[]","","all","Right Hand Bat","","",23790,1515792600,7.5,"","","","","","","Namibia"
93598,"Gerhard Lottering","G Lottering","Gerhard Lottering","","","2000-05-19","","na","[]","","wk","Right Hand Bat","Right Arm Fast","",23790,1515792600,8,"","","","","","","Namibia"
93599,"Dewald Nell","D Nell","Dewald Nell","","","","","na","[]","","all","","","",23790,1515792600,6.5,"","","","","","","Namibia"
93602,"Floris Steenkamp","F Steenkamp","Floris Steenkamp","","","","","na","[]","","bat","","","",23817,1516829400,8.5,"","","","","","","Namibia"
93594,"Henry Brink","H Brink","Henry Brink","","","2001-03-29","","na","[]","","bat","Right Hand Bat","","",23812,1516570200,8,"","","","","","","Namibia"
93595,"Jan-Izak de Villiers","JI de Villiers","Jan-Izak de Villiers","","","2001-05-06","","na","[]","","all","Right Hand Bat","Right Arm Medium","",23802,1516224600,8,"","","","","","","Namibia"
93639,"Ramon Wilmot","RZ Wilmot","Ramon Wilmot","","","2002-09-17","","na","[]","","all","Right Hand Bat","Right Arm Leg Spin","",23794,1515965400,9,"","","","","","","Namibia"
1330,"Eben van Wyk","E van Wyk","Eben van Wyk","","","1999-03-19","","na","[]","","bat","Right Hand Bat","Right Arm Medium","",23790,1515792600,8.5,"","","","","","","Namibia"
1386,"Petrus Burger","P Burger","Petrus Burger","","","1999-11-03","","na","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",23790,1515792600,8.5,"","","","","","","Namibia"
1180,"Lohan Louwrens","L Louwrens","Lohan Louwrens","","","1999-04-24","","na","[]","","bat","Right Hand Bat","","",23790,1515792600,7.5,"","","","","","","Namibia"
93596,"Shaun Fouche","S Fouche","Shaun Fouche","","","2000-02-14","","na","[]","","all","Right Hand Bat","","",23790,1515792600,7.5,"","","","","","","Namibia"
93598,"Gerhard Lottering","G Lottering","Gerhard Lottering","","","2000-05-19","","na","[]","","wk","Right Hand Bat","Right Arm Fast","",23790,1515792600,8,"","","","","","","Namibia"
93599,"Dewald Nell","D Nell","Dewald Nell","","","","","na","[]","","all","","","",23790,1515792600,6.5,"","","","","","","Namibia"
93602,"Floris Steenkamp","F Steenkamp","Floris Steenkamp","","","","","na","[]","","bat","","","",23817,1516829400,8.5,"","","","","","","Namibia"
93594,"Henry Brink","H Brink","Henry Brink","","","2001-03-29","","na","[]","","bat","Right Hand Bat","","",23812,1516570200,8,"","","","","","","Namibia"
93595,"Jan-Izak de Villiers","JI de Villiers","Jan-Izak de Villiers","","","2001-05-06","","na","[]","","all","Right Hand Bat","Right Arm Medium","",23802,1516224600,8,"","","","","","","Namibia"
93639,"Ramon Wilmot","RZ Wilmot","Ramon Wilmot","","","2002-09-17","","na","[]","","all","Right Hand Bat","Right Arm Leg Spin","",23794,1515965400,9,"","","","","","","Namibia"
1330,"Eben van Wyk","E van Wyk","Eben van Wyk","","","1999-03-19","","na","[]","","bat","Right Hand Bat","Right Arm Medium","",23790,1515792600,8.5,"","","","","","","Namibia"
1386,"Petrus Burger","P Burger","Petrus Burger","","","1999-11-03","","na","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",23790,1515792600,8.5,"","","","","","","Namibia"
1180,"Lohan Louwrens","L Louwrens","Lohan Louwrens","","","1999-04-24","","na","[]","","bat","Right Hand Bat","","",23790,1515792600,7.5,"","","","","","","Namibia"
93596,"Shaun Fouche","S Fouche","Shaun Fouche","","","2000-02-14","","na","[]","","all","Right Hand Bat","","",23790,1515792600,7.5,"","","","","","","Namibia"
93598,"Gerhard Lottering","G Lottering","Gerhard Lottering","","","2000-05-19","","na","[]","","wk","Right Hand Bat","Right Arm Fast","",23790,1515792600,8,"","","","","","","Namibia"
93599,"Dewald Nell","D Nell","Dewald Nell","","","","","na","[]","","all","","","",23790,1515792600,6.5,"","","","","","","Namibia"
93602,"Floris Steenkamp","F Steenkamp","Floris Steenkamp","","","","","na","[]","","bat","","","",23817,1516829400,8.5,"","","","","","","Namibia"
